Nazwisko;Imie;Data_urodz;Miejsce_zamieszkania
Krakowska;Paulina;1992-10-08;srednie miasto
Bielun;Urszula;1983-07-01;wies
Grzeskowiak;Szymon;1960-06-23;wies
Karpek;Paulina;1976-06-27;srednie miasto
Kowal;Ewa;1965-01-20;duze miasto
Augustyn;Zofia;1968-11-16;srednie miasto
Filipczuk;Paulina;1967-12-18;duze miasto
Miklas;Maciej;1991-06-09;wies
Vasina;Adam;1995-04-06;wies
Bydgoska;Inga;1955-10-12;duze miasto
Banasiewicz;Beata;1969-08-01;duze miasto
Fryziel;Daria;1958-12-29;duze miasto
Bedka;Justyna;1985-07-04;wies
Banaszczyk;Barbara;1977-12-13;duze miasto
Ptaszek;Janusz;1993-11-14;duze miasto
Rey;Tadeusz;1968-05-14;srednie miasto
Zeller;Teresa;1951-06-08;wies
Majcherczyk;Maciej;1975-08-05;wies
Grabicka;Grazyna;1971-05-18;duze miasto
Praska;Anna;1950-01-22;srednie miasto
Jakus;Piotr;1992-04-02;duze miasto
Grdulska;Danuta;1969-07-20;duze miasto
Badowski;Karol;1959-08-07;srednie miasto
Majkut;Maciej;1972-07-10;srednie miasto
Cabaj;Martyna;1979-02-11;wies
Malecka;Stefania;1991-08-04;duze miasto
Gagatek;Stefan;1967-03-08;duze miasto
Otwocka;Ewelia;1976-08-20;srednie miasto
Pleszewska;Krystyna;1972-02-06;male miasto
Sabatowicz;Szymon;1985-02-17;duze miasto
Magiera;Robert;1971-06-28;male miasto
Klekotko;Justyna;1963-09-18;srednie miasto
Nowak;Damian;1990-03-20;male miasto
Doszko;Katarzyna;1954-02-04;wies
Rozwalka;Wojciech;1974-10-22;wies
Aleksandrowicz;Krystyna;1959-10-15;srednie miasto
Kilarski;Ewa;1957-08-19;male miasto
Rykowski;Roman;1985-09-02;male miasto
Skierniewicka;Malwina;1947-01-12;duze miasto
Wronka;Cezary;1988-06-11;srednie miasto
Wroniszewski;Mieszko;1987-10-31;duze miasto
Andrzejewska;Barbara;1986-12-03;srednie miasto
Klimaszewski;Krzysztof;1951-01-20;male miasto
Pachnowski;Jacek;1945-10-24;srednie miasto
Klimaszewska;Ewa;1968-07-17;duze miasto
Malik;Jakub;1947-06-24;srednie miasto
Grzeskowiak;Szymon;1963-05-26;wies
Lwowska;Paulina;1946-12-30;duze miasto
Adamowicz;Jolanta;1966-12-30;duze miasto
Pastuszka;Marzena;1994-07-08;srednie miasto
Kalitowski;Marcin;1950-04-01;srednie miasto
Miller;Zbigniew;1993-04-10;duze miasto
Bartkiewicz;Elwira;1947-06-13;duze miasto
Dmochowska;Katarzyna;1991-11-08;male miasto
Szostek;Krzysztof;1966-11-15;srednie miasto
Paprocki;Konrad;1952-11-09;male miasto
Holmes;Barbara;1972-11-23;duze miasto
Kozar;Robert;1959-12-13;duze miasto
Bednarska;Karolina;1995-06-15;duze miasto
Piotrkowska;Zuzanna;1953-12-19;duze miasto
Antos;Karolina;1976-05-13;srednie miasto
Kumur;Genowefa;1977-04-11;duze miasto
Wilczko;Adrian;1982-01-03;wies
Bugajski;Jan;1963-04-10;duze miasto
Florczuk;Katarzyna;1967-12-02;duze miasto
Bielec;Maria;1948-03-09;male miasto
Busz;Jan;1958-01-14;wies
Balicka;Anna;1981-10-20;duze miasto
Badowska;Danuta;1953-10-27;srednie miasto
Labryga;Piotr;1961-08-21;duze miasto
Barcik;Barbara;1969-05-09;duze miasto
Ksel;Krzysztof;1955-04-02;male miasto
Skrzypek;Bartosz;1952-05-27;duze miasto
Konstantinova;Alexandra;1949-09-06;duze miasto
Kowalska;Karolina;1971-08-01;srednie miasto
Wojtkowiak;Marcin;1984-04-26;male miasto
Jurecka;Kinga;1967-05-31;duze miasto
Popowski;Adam;1987-02-10;srednie miasto
Pietrzyk;Anita;1993-08-20;duze miasto
Sieduszewski;Piotr;1974-02-19;wies
Pryk;Tymon;1949-06-04;wies
Maj;Maciej;1974-01-30;duze miasto
Marciszewski;Roman;1984-12-23;srednie miasto
Adamski;Jerzy;1995-07-13;duze miasto
Albert;Jerzy;1960-07-04;srednie miasto
Polkowicka;Dominika;1944-07-14;duze miasto
Cieplik;Marta;1987-11-22;duze miasto
Parczewska;Malwina;1971-03-04;wies
Pisarska;Alicja;1990-06-16;duze miasto
Basiak;Anna;1983-12-21;wies
Janicka;Paulina;1969-02-09;duze miasto
Engel;Anna;1975-09-02;duze miasto
Plichta;Robert;1970-03-17;duze miasto
Barszczewska;Cecylia;1975-10-16;srednie miasto
Szklarska;Tekla;1989-09-14;wies
Aleksandrowicz;Barbara;1972-03-22;wies
Kuc;Danuta;1958-11-19;srednie miasto
Kogut;Magdalena;1989-10-09;srednie miasto
Sopocka;Olivia;1966-07-15;srednie miasto
Berezowska;Anita;1984-03-06;wies
Walczak;Maciej;1954-05-09;duze miasto
Guzik;Anna;1988-01-05;duze miasto
Modzelewski;Mateusz;1949-01-06;duze miasto
Dudek;Marzena;1954-11-29;duze miasto
Banach;Leon;1984-06-30;wies
Klasz;Marcin;1961-06-03;srednie miasto
Banasik;Irena;1946-09-03;duze miasto
Kisiel;Dawid;1967-09-17;srednie miasto
Geldner;Magdalena;1950-11-22;srednie miasto
Rygielski;Maciej;1956-09-29;duze miasto
Ossowski;Karol;1964-01-25;srednie miasto
Kisielewska;Greta;1946-10-09;srednie miasto
Nyski;Piotr;1983-06-14;duze miasto
Kopec;Anna;1956-07-15;duze miasto
Sznyrowska;Wiktoria;1989-03-13;duze miasto
Tichoniuk;Marcin;1949-12-01;duze miasto
Dul;Dominika;1966-04-28;srednie miasto
Grzegorczyk;Marta;1974-09-27;srednie miasto
Grzywacz;Wanda;1950-05-15;duze miasto
Banach;Dorota;1994-03-07;duze miasto
Legnicka;Karina;1958-11-24;duze miasto
Barabasz;Krystyna;1986-12-03;srednie miasto
Borowska;Ewelina;1993-09-23;srednie miasto
Cedro;Zofia;1952-07-08;wies
Sieradzki;Piotr;1975-01-30;duze miasto
Sar;Wojciech;1964-10-15;duze miasto
Kordaszewska;Magdalena;1948-04-26;srednie miasto
Bauer;Jagoda;1969-11-23;srednie miasto
Brychcy;Agata;1995-02-28;wies
Potocki;Grzegorz;1947-12-30;duze miasto
Kordaszewski;Piotr;1988-12-05;srednie miasto
Wiatrowski;Roman;1994-07-18;duze miasto
Albert;Joanna;1978-01-01;duze miasto
Balcer;Iwona;1989-06-30;wies
Augustowska;Irma;1974-03-24;srednie miasto
Jackowska;Maria;1980-02-08;duze miasto
Adamczyk;Julia;1950-06-23;srednie miasto
Sosnowiecka;Dorota;1994-03-13;duze miasto
Henrykowski;Kornel;1973-01-25;duze miasto
Szklarska;Karolina;1966-10-11;srednie miasto
Podczasiak;Jadwiga;1960-04-04;duze miasto
Skrzydlowski;Dawid;1947-02-09;wies
Genewski;Andrzej;1961-09-23;srednie miasto
Bienias;Alina;1956-09-24;duze miasto
Madrycki;Janusz;1968-03-03;duze miasto
Opolska;Paulina;1956-12-19;duze miasto
Barwicka;Zofia;1982-10-11;duze miasto
Leniak;Jacek;1958-02-05;wies
Kapanowska;Marta;1955-04-14;srednie miasto
Lech;Bartosz;1946-12-01;srednie miasto
Kaczocha;Maciej;1989-10-21;srednie miasto
Nowak;Anna;1970-09-28;duze miasto
Kozar;Artur;1987-09-08;duze miasto
Barszczewska;Halina;1986-05-24;srednie miasto
Bartoszek;Justyna;1952-06-08;srednie miasto
Gawlowska;Enrika;1960-01-19;srednie miasto
Balcerowska;Iwona;1977-03-03;duze miasto
Nagaj;Mieszko;1993-11-18;duze miasto
Jakubczyk;Agnieszka;1967-06-29;srednie miasto
Aleksander;Barbara;1949-04-22;srednie miasto
Wiek;Jadwiga;1972-07-26;male miasto
Suchocki;Andrzej;1983-02-21;male miasto
Augustowska;Justyna;1946-07-08;duze miasto
Michalik;Wojciech;1965-07-27;duze miasto
Bandera;Ewa;1973-07-26;duze miasto
Rybicki;Jakub;1947-04-11;male miasto
Lysiak;Helena;1986-07-19;srednie miasto
Balcerek;Zofia;1958-03-20;duze miasto
Blacharz;Krystyna;1981-02-05;male miasto
Augustowska;Anna;1984-07-12;srednie miasto
Kaczorowska;Agnieszka;1987-05-27;duze miasto
Kisielewski;Krystian;1964-01-08;duze miasto
Sikora;Norbert;1987-11-16;srednie miasto
Warszawska;Rita;1961-10-01;male miasto
Barszczewska;Anna;1961-08-15;duze miasto
Moskiewski;Sebastian;1980-10-16;srednie miasto
Pogrebniak;Jegor;1961-04-27;duze miasto
Gates;Anna;1977-09-26;wies
Zaprawa;Marcin;1944-06-21;srednie miasto
Mazgaj;Szymon;1989-11-24;duze miasto
Samborski;Bartosz;1964-05-31;srednie miasto
Barcikowska;Zyta;1977-12-30;duze miasto
Radziejowski;Krystian;1957-04-10;duze miasto
Baranek;Magdalena;1993-07-14;srednie miasto
Wosiak;Roman;1988-07-17;srednie miasto
Cichawa;Dorota;1945-07-22;duze miasto
Smutnicki;Tomasz;1977-04-02;duze miasto
Kotala;Dominik;1989-05-18;male miasto
Gralewicz;Ewelina;1978-05-26;male miasto
Matczak;Piotr;1983-04-12;duze miasto
Chorzowska;Jadwiga;1993-01-02;duze miasto
Grzybek;Karolina;1973-11-06;duze miasto
Bartel;Ewa;1958-06-03;duze miasto
Kosaty;Marek;1968-11-08;srednie miasto
Pietkiewicz;Piotr;1955-09-08;duze miasto
Alot;Zofia;1943-12-05;srednie miasto
Glazik;Paulina;1950-11-01;duze miasto
Parczewska;Kazimiera;1993-01-07;duze miasto
Barczuk;Maja;1984-02-08;duze miasto
Szkutnik;Bartosz;1961-11-19;wies
Podstawa;Jadwiga;1952-05-09;duze miasto
