Id_zdajacego;Nazwisko;Imie;PESEL;Data_urodzenia
120;Nowomiejski;Janusz;95092506217;1995-09-25
121;Nowominski;Dariusz;95082205313;1995-08-22
122;Nowopolska;Maria;93041102445;1993-04-11
123;Nowosad;Aleksander;95070101113;1995-07-01
124;Nowowjejska;Sylwia;93052303127;1993-05-23
125;Nowotko;Krzysztof;95042708476;1995-04-27
126;Nowy;Jan;95021202332;1995-02-12
127;Nowodzinski;Karol;94112802579;1994-11-28
128;Nowina;Beata;94072703223;1994-07-27
129;Nowa;Maria;95062106427;1995-06-21
130;Nowicka;Ewelina;95080809228;1995-08-08
131;Nowinska;Magda;95081702445;1995-08-17
132;Nowicki;Jonasz;95010501237;1995-01-05
133;Nowinski;Donat;95091008231;1995-09-10
134;Nowopilska;Marta;95100806526;1995-10-08
135;Noworyta;Karol;95102302135;1995-10-23
136;Noworyta;Lena;96052803841;1996-05-28
139;Nowosad;Ewelina;95041006446;1995-04-10
140;Nowosad;Antoni;95030603118;1995-03-06
141;Zaslona;Henryk;94031502897;1994-03-15
142;Zaslonka;Aleksander;95040808338;1995-04-08
143;Zason;Marek;95032609635;1995-03-26
144;Zastawny;Adam;96022801635;1996-02-28
145;Zastawski;Wojciech;95122202891;1995-12-22
146;Zastepinski;Jan;95100105336;1995-10-01
147;Zasucha;Marek;94030609535;1994-03-06
148;Zasun;Marcin;95011201437;1995-01-12
149;Zasuwik;Andrzej;96080702215;1996-08-07
150;Zaszczynski;Aleksander;95020306538;1995-02-03
151;Zaszewski;Lech;93121103431;1993-12-11
152;Zaszkiewicz;Marcin;94012008614;1994-01-20
153;Zasztoft;Stanislaw;94012702335;1994-01-27
154;Zatarski;Marek;95031606336;1995-03-16
155;Zateplinski;Marcin;93032601894;1993-03-26
156;Zatkalik;Jadwiga;95112101345;1995-11-21
157;Maciej;Jan;93080501212;1993-08-05
158;Sandacz;Anna;96091002346;1996-09-10
159;Sandecka;Elzbieta;94031706606;1994-03-17
160;Sandel;Ernestyna;95122203002;1995-12-22
161;Sandomierska;Teresa;95021101023;1995-02-11
162;Sandomierski;Adam;94011301211;1994-01-13
163;Sandomierz;Andrzej;94032901531;1994-03-29
164;Sandowicz;Michal;95070301718;1995-07-03
165;Sandowska;Teresa;95080701123;1995-08-07
166;Sandowski;Filip;95060702332;1995-06-07
167;Sandulowic;Nikolas;94090706413;1994-09-07
168;Sanecka;Zofia;93053108526;1993-05-31
169;Sanello;Marcin;95111501613;1995-11-15
170;Sanetra;Adrian;95121603571;1995-12-16
171;Saniawa;Jan;95092506237;1995-09-25
172;Sanicki;Adrian;95082205313;1995-08-22
173;Saniewicz;Ireneusz;93041102415;1993-04-11
174;Dobiasz;Anna;95070101123;1995-07-01
175;Dobiecka;Henryka;93052303127;1993-05-23
176;Dobiecki;Iwan;95042708476;1995-04-27
177;Dobielinski;Adam;95021202332;1995-02-12
178;Dobierski;Jan;94112802579;1994-11-28
179;Dobies;Apolonia;94072703223;1994-07-27
180;Dobiesz;Adrian;95062106477;1995-06-21
181;Dobieszak;Ryszard;95080809278;1995-08-08
182;Dobieszewska;Krystyna;95081702465;1995-08-17
183;Dobieszynski;Wojciech;95010501217;1995-01-05
184;Dobija;Kamil;95091008231;1995-09-10
185;Dobijanski;Wladyslaw;95100806556;1995-10-08
186;Dobilis;Alicja;95102302105;1995-10-23
187;Dobinski;Edward;96052803811;1996-05-28
188;Dobiszewski;Julian;95061809615;1995-06-18
189;Dobjasz;Iga;95120901629;1995-12-09
190;Dobke;Kamil;95041006436;1995-04-10
191;Dobkowska;Aleksandra;95030603128;1995-03-06
192;Dobkowska;Daria;94031502827;1994-03-15
193;Dobosiewicz;Szymon;95040808338;1995-04-08
194;Dobosz;Anna;93053108546;1993-05-31
195;Abram;Elzbieta;95111501623;1995-11-15
196;Abram;Jan;95121603511;1995-12-16
197;Abramczuk;Ewa;95092506227;1995-09-25
198;Abramczyk;Janusz;95082205313;1995-08-22
199;Abramowicz;Alicja;93041102445;1993-04-11
200;Abramowska;Liliana;95070101123;1995-07-01
201;Rabczenko;Andrzej;93052303117;1993-05-23
202;Rabczynska;Anna;95042708426;1995-04-27
203;Rabczynska;Romana;95021202322;1995-02-12
204;Rabecki;Michal;94112802579;1994-11-28
205;Rabel;Adrian;94072703213;1994-07-27
206;Rabenda;Iwona;95062106427;1995-06-21
207;Rabiak;Michal;95080809218;1995-08-08
208;Rabij;Kamil;95081702435;1995-08-17
209;Rabijewski;Adam;95010501217;1995-01-05
210;Rabikowska;Maria;95091008221;1995-09-10
211;Rabinska;Elzbieta;95100806526;1995-10-08
212;Raboj;Kamil;95102302135;1995-10-23
213;Rachalski;Andrzej;96052803811;1996-05-28
214;Rachanska;Ewa;95061809645;1995-06-18
215;Rachelski;Jerzy;95120901679;1995-12-09
216;Rachemba;Antoni;95041006436;1995-04-10
217;Rachlewicz;Elzbieta;95030603128;1995-03-06
218;Rachon;Borys;94031502897;1994-03-15
219;Rachowka;Krystyna;95040808328;1995-04-08
220;Rachtan;Danuta;95032609685;1995-03-26
221;Zegarska;Elzbieta;96022801625;1996-02-28
222;Zegarska;Ewa;95122202821;1995-12-22
223;Zegzula;Andrzej;95100105336;1995-10-01
224;Zejdler;Lilianna;94030609565;1994-03-06
225;Zejmowicz;Miroslaw;95011201417;1995-01-12
226;Zelech;Maria;96080702225;1996-08-07
227;Zelek;Maria;95020306588;1995-02-03
228;Zelent;Witold;93121103431;1993-12-11
229;Zelga;Andrzej;94012008614;1994-01-20
230;Zeliasz;Krzysztof;94012702315;1994-01-27
231;Zelichow;Aleksander;95031606336;1995-03-16
232;Zelkowicz;Helena;93032601884;1993-03-26
233;Zeller;Marek;95112101335;1995-11-21
234;Zeller;Piotr;93080501212;1993-08-05
235;Zagar;Natalia;96091002326;1996-09-10
236;Zegier;Stanislaw;94031706676;1994-03-17
237;Zega;Adrian;95122203012;1995-12-22
238;Zejmer;Lila;95021101023;1995-02-11
239;Zemowicz;Marcin;95031606336;1995-03-16
240;Rybaczyk;Grzegorz;93032601894;1993-03-26
241;Rybak;Andrzej;95112101335;1995-11-21
242;Rybakiewicz;Jadwiga;93080501222;1993-08-05
243;Rybakowski;Hilary;96092002316;1996-09-20
244;Rybaltowski;Konrad;95111501613;1995-11-15
245;Rybaniec;Jan;95121603511;1995-12-16
246;Rybarczyk;Aleksander;95092506237;1995-09-25
247;Rybarkiwicz;Alicja;95082205343;1995-08-22
248;Rybarski;Juliusz;93041102435;1993-04-11
249;Rybczynska;Zofia;95070101123;1995-07-01
250;Rybczynski;Adam;93052303117;1993-05-23
251;Rybczynski;Jan;95042708436;1995-04-27
252;Rybeczko;Tomasz;95021202332;1995-02-12
253;Rybialek;Joanna;94112802549;1994-11-28
254;Rybicka;Anna;94072703243;1994-07-27
255;Rybicka;Edyta;95062106427;1995-06-21
256;Tabaczynska;Helena;95080809248;1995-08-08
257;Tabaczynski;Andrzej;95081702435;1995-08-17
258;Tabak;Michal;95010501217;1995-01-05
259;Tabaka;Adam;95091008231;1995-09-10
260;Tabakiernik;Karol;95100806536;1995-10-08
261;Tabako;Maria;95102302145;1995-10-23
262;Tabakowska;Irena;96052803841;1996-05-28
263;Tabaszewska;Ewa;95061809645;1995-06-18
264;Taber;Malgorzata;95120901629;1995-12-09
265;Tabernacki;Andrzej;95041006436;1995-04-10
266;Taberski;Jerzy;95030603138;1995-03-06
267;Tabecki;Michal;94031502897;1994-03-15
268;Tabor;Aniela;95040808328;1995-04-08
269;Taborek;Jan;95032609635;1995-03-26
270;Taborka;Donatylda;96022801625;1996-02-28
271;Taboryski;Michal;95122202811;1995-12-22
272;Taciak;Andrzej;95100105336;1995-10-01
273;Czech;Wanda;94030609565;1994-03-06
274;Czechanski;Michal;95011201417;1995-01-12
275;Czechmanski;Zbigniew;96080702215;1996-08-07
276;Czechowicz;Andrzej;95020306518;1995-02-03
277;Czechowicz;Joanna;93121103421;1993-12-11
278;Czechowska;Ewa;94012008624;1994-01-20
279;Jaranowski;Michal;94012702315;1994-01-27
280;Jarczewska;Julia;95031606326;1995-03-16
281;Jarczuk;Jaroslaw;93032601814;1993-03-26
282;Jarczyn;Emilia;95112101325;1995-11-21
283;Jarczynska;Wiktoria;93080501222;1993-08-05
284;Jarczynski;Janusz;96091002316;1996-09-10
285;Jarecki;Adam;94031706676;1994-03-17
286;Jarek;Edward;95122203012;1995-12-22
287;Jarema;Michal;95021101013;1995-02-11
288;Jaremczak;Teresa;95031606326;1995-03-16
289;Jaremczuk;Piotr;93032601814;1993-03-26
290;Jaremek;Marcin;95112101335;1995-11-21
291;Jaremko;Karol;95112101315;1995-11-21
292;Jargosz;Helena;93080501222;1993-08-05
293;Jarka;Danuta;96081002346;1996-08-10
294;Jarkiewicz;Marcin;94031706616;1994-03-17
295;Jarkiewicz;Beata;95122203002;1995-12-22
296;Jarkowska;Helena;95021101023;1995-02-11
297;Jaraczynska;Zofia;94011301221;1994-01-13
298;Jarmakowska;Helena;94032901521;1994-03-29
299;Jarmakowska;Lucja;95070301728;1995-07-03
300;Jarmolinska;Aleksandra;95080701123;1995-08-07
301;Jarmolowicz;Marcin;95060702332;1995-06-07
302;Jarmul;Maksymilian;94090706413;1994-09-07
303;Jarmulewska;Teresa;93053108526;1993-05-31
304;Jarmul;Marcin;95111501613;1995-11-15
305;Jarmulowicz;Danuta;95121603561;1995-12-16
