Pesel	data_wyk	kod_wyk
53040668053	2014-01-10	31
74062983807	2014-02-12	31
46080423256	2014-03-24	31
52082959989	2014-12-04	31
73082076855	2014-12-13	31
74031718461	2014-12-23	31
66040707105	2014-12-31	31
78020322994	2014-01-10	32
46073182890	2014-02-13	32
61062963757	2014-03-24	32
51070170625	2014-05-22	32
82072709836	2014-05-30	32
82010271881	2014-06-07	32
60050671713	2014-12-04	32
66032684427	2014-12-13	32
60021281905	2014-12-24	32
74060800706	2014-09-03	32
70020991785	2014-01-10	33
51020720139	2014-02-13	33
81062825727	2014-03-24	33
56042492334	2014-05-22	33
56070414962	2014-05-31	33
81011159031	2014-06-07	33
73060695660	2014-12-04	33
73082776855	2014-12-14	33
74032617219	2014-12-24	33
78012033222	2014-12-26	33
88032678854	2014-09-21	33
80053168557	2014-01-10	36
60072720653	2014-02-13	36
46011466970	2014-03-26	36
75012452095	2014-05-22	36
77012101115	2014-05-31	36
82010785395	2014-06-08	36
82071595672	2014-07-04	36
75052056972	2014-07-05	36
79052146011	2014-07-05	36
81010974091	2014-07-05	36
47032407216	2014-07-06	36
57020972316	2014-07-06	36
78070253978	2014-07-06	36
63043100652	2014-07-07	36
82071694142	2014-07-07	36
89022908736	2014-07-08	36
57021247282	2014-07-09	36
79052707768	2014-07-09	36
89022908766	2014-07-09	36
52010124205	2014-07-10	36
63062873269	2014-07-10	36
82070874097	2014-07-10	36
63062948422	2014-07-13	36
63052636623	2014-07-16	36
49060974720	2014-07-18	36
84072555426	2014-07-19	36
63061649331	2014-07-22	36
63062873269	2014-07-25	36
48082674845	2014-07-26	36
67022437717	2014-07-28	36
57060394750	2014-07-30	36
84091751923	2014-07-31	36
67041150695	2014-08-02	36
85102809896	2014-08-03	36
67061110749	2014-08-05	36
86070376599	2014-08-06	36
58020427974	2014-08-23	36
69013184895	2014-08-31	36
69022825875	2014-09-02	36
69032825807	2014-09-08	36
58041437527	2014-09-10	36
58051145351	2014-09-19	36
69052711577	2014-09-20	36
69052711577	2014-09-21	36
82072709846	2014-09-23	36
58022615384	2014-09-25	36
64052767917	2014-09-26	36
79010262339	2014-09-28	36
77050778029	2014-09-29	36
58030854177	2014-10-01	36
70012287342	2014-10-06	36
46052453908	2014-10-12	36
70120675819	2014-10-13	36
49010235558	2014-10-14	36
50031962161	2014-10-17	36
47071003349	2014-10-18	36
71022675598	2014-10-20	36
71032675523	2014-10-24	36
59013009470	2014-10-25	36
71040627344	2014-10-25	36
79101889775	2014-10-25	36
81011159031	2014-10-25	36
64080832953	2014-10-26	36
71042124658	2014-10-26	36
92032487685	2014-10-26	36
79011398491	2014-10-26	36
71052968118	2014-10-27	36
59020304760	2014-10-28	36
71060533751	2014-10-28	36
77121098865	2014-12-04	36
60010473250	2014-12-15	36
81021384078	2014-12-24	36
60011168304	2014-12-27	36
80062465997	2014-10-09	36
60050671713	2014-01-11	37
81041609812	2014-02-13	37
54081004691	2014-03-26	37
79030778655	2014-05-22	37
90030999826	2014-05-31	37
50031962161	2014-06-08	37
63010758879	2014-06-19	37
79040554576	2014-06-19	37
82070688964	2014-06-19	37
49021619936	2014-06-20	37
57011431132	2014-06-21	37
80082431877	2014-06-21	37
62071711090	2014-06-22	37
67011611290	2014-06-22	37
77012657439	2014-06-22	37
82070874097	2014-06-22	37
82012583199	2014-06-22	37
47031820856	2014-06-23	37
79051319881	2014-06-23	37
57011497877	2014-06-24	37
89040987715	2014-07-10	37
79060821883	2014-07-13	37
75052926013	2014-07-16	37
57020604385	2014-07-18	37
81011159031	2014-07-19	37
84072555466	2014-07-22	37
77013193922	2014-07-25	37
57060394750	2014-07-27	37
84091751923	2014-07-28	37
67032571100	2014-07-30	37
47032407216	2014-08-01	37
79062940890	2014-08-02	37
78080413100	2014-08-03	37
77021111929	2014-08-05	37
52020392377	2014-08-07	37
68071435985	2014-08-23	37
78082116285	2014-08-31	37
88022685902	2014-09-02	37
88022685902	2014-09-08	37
69052711577	2014-09-10	37
69040425451	2014-09-19	37
76020399196	2014-09-20	37
89122589754	2014-09-21	37
70041340238	2014-09-24	37
70041843991	2014-09-25	37
70050114156	2014-09-26	37
80062465997	2014-09-28	37
82050929658	2014-09-29	37
70052496496	2014-10-01	37
52052985806	2014-10-02	37
81011159031	2014-10-03	37
48082674845	2014-10-06	37
70012316491	2014-10-07	37
64071032276	2014-10-08	37
70081101879	2014-10-08	37
82051382908	2014-10-08	37
52062277807	2014-10-09	37
70120675818	2014-10-12	37
80021681109	2014-10-13	37
71012377596	2014-10-15	37
64072869277	2014-10-17	37
71020407397	2014-10-18	37
84092799822	2014-10-20	37
71031018607	2014-10-22	37
49010739731	2014-10-22	37
52062994373	2014-10-23	37
64080832953	2014-10-23	37
71031147039	2014-10-23	37
76030854522	2014-10-23	37
93052768528	2014-10-23	37
50032536884	2014-10-24	37
79101889775	2014-12-04	37
73092076849	2014-12-15	37
53031682600	2014-12-25	37
74041730453	2014-12-27	37
80070324546	2014-10-27	37
81011910685	2014-01-11	38
48032754766	2014-02-14	38
76103098037	2014-03-26	38
49033115660	2014-05-23	38
50031383814	2014-05-31	38
46011466970	2014-06-09	38
75041131336	2014-06-24	38
50031383814	2014-06-24	38
62072015643	2014-06-25	38
82071595672	2014-06-25	38
52010124205	2014-06-26	38
49021619936	2014-06-27	38
57020517254	2014-06-27	38
79051564328	2014-06-27	38
62072253999	2014-06-28	38
82071694142	2014-06-28	38
57020604385	2014-06-30	38
63041987576	2014-07-01	38
79052009768	2014-07-01	38
82070874097	2014-07-01	38
50031962161	2014-07-02	38
52010124205	2014-07-03	38
57020938389	2014-07-03	38
77012657444	2014-07-03	38
46052305496	2014-07-04	38
49021619936	2014-07-04	38
63041987576	2014-07-04	38
48080940272	2014-07-10	38
82071595672	2014-07-13	38
82071694142	2014-07-16	38
48081892851	2014-07-18	38
78072254731	2014-07-20	38
52012727116	2014-07-24	38
79062009767	2014-07-25	38
67021777827	2014-07-27	38
46052453908	2014-07-29	38
52020266689	2014-07-31	38
49060974720	2014-08-01	38
80072765543	2014-08-02	38
49010235558	2014-08-03	38
63072656867	2014-08-06	38
67081491310	2014-08-07	38
63082755819	2014-08-24	38
58023137386	2014-09-01	38
69023062143	2014-09-03	38
47050970431	2014-09-09	38
53010873595	2014-09-11	38
79122889753	2014-09-19	38
82050929658	2014-09-20	38
47052186876	2014-09-22	38
90010488986	2014-09-24	38
90030999826	2014-09-25	38
82043181962	2014-09-26	38
48081892851	2014-09-28	38
80062480169	2014-09-29	38
76022675847	2014-10-01	38
64061711864	2014-10-02	38
58072234744	2014-10-04	38
58072234744	2014-10-07	38
76023158691	2014-10-12	38
64072172748	2014-10-14	38
52062994373	2014-10-16	38
71013077280	2014-10-17	38
59013009470	2014-10-19	38
71030351925	2014-10-21	38
66071450180	2014-11-16	38
72080239786	2014-11-17	38
59050269271	2014-11-18	38
72081720313	2014-11-18	38
79111590986	2014-11-18	38
73020416836	2014-11-19	38
66021648856	2014-12-04	38
78010473163	2014-12-15	38
66032816415	2014-12-25	38
66032816415	2014-12-28	38
80070324566	2014-11-14	38
80070324566	2014-04-25	38
80070324546	2014-01-11	39
54020611490	2014-02-15	39
51031812876	2014-03-27	39
62052709603	2014-05-23	39
62062960669	2014-06-01	39
56070615011	2014-06-09	39
49060428878	2014-07-11	39
77012684148	2014-07-14	39
52011451034	2014-07-17	39
47032407216	2014-07-19	39
57020938389	2014-07-21	39
57020972316	2014-07-24	39
84091751923	2014-07-25	39
75062624851	2014-07-27	39
67032058465	2014-07-29	39
63070107099	2014-07-31	39
67040759741	2014-08-01	39
63072544100	2014-08-03	39
67051825097	2014-08-04	39
67070660543	2014-08-06	39
75071588216	2014-08-07	39
88022685932	2014-08-30	39
69020166819	2014-09-01	39
79101010977	2014-09-03	39
69040425451	2014-09-09	39
64062775711	2014-09-11	39
89122009428	2014-09-19	39
89122489714	2014-09-20	39
58021838845	2014-09-22	39
82072964907	2014-09-24	39
83080122395	2014-09-25	39
83081788913	2014-09-26	39
64060788139	2014-09-29	39
70052059536	2014-09-30	39
80013124489	2014-10-01	39
70052764984	2014-10-02	39
70063133210	2014-10-04	39
79010465435	2014-10-12	39
71012048184	2014-10-14	39
58072850731	2014-10-16	39
80022726157	2014-10-17	39
71021394867	2014-10-19	39
77060761983	2014-10-21	39
50062806261	2014-12-05	39
60050671713	2014-12-16	39
74040170997	2014-12-25	39
74043047810	2014-12-28	39
80070765593	2014-12-02	39
80070324566	2014-01-12	40
78061467502	2014-02-15	40
61062963757	2014-03-27	40
81042277655	2014-05-23	40
81052070973	2014-06-01	40
47030589952	2014-06-10	40
57021247282	2014-07-12	40
57021247282	2014-07-15	40
79061091566	2014-07-17	40
63061111360	2014-07-19	40
79061445693	2014-07-21	40
49060974720	2014-07-25	40
67020855216	2014-07-26	40
63062948422	2014-07-28	40
79062664493	2014-07-29	40
67040514269	2014-07-31	40
57060394750	2014-08-02	40
67042967171	2014-08-03	40
57062976626	2014-08-05	40
79063009468	2014-08-06	40
49082653548	2014-08-08	40
86112376544	2014-08-12	40
46052305496	2014-08-23	40
68080400280	2014-08-24	40
80081291810	2014-08-30	40
64012826252	2014-09-02	40
53010873595	2014-09-04	40
64032113198	2014-09-08	40
75082824109	2014-09-09	40
69053036196	2014-09-11	40
64042228989	2014-09-20	40
48080940272	2014-09-20	40
70032564155	2014-09-22	40
53031682600	2014-09-25	40
50020444537	2014-09-26	40
70050871037	2014-09-27	40
70051822032	2014-09-29	40
80062822277	2014-09-30	40
80082431877	2014-10-01	40
82050934731	2014-10-02	40
70012287342	2014-10-04	40
58072850731	2014-10-13	40
84091751933	2014-10-14	40
71013062824	2014-10-16	40
84092799822	2014-10-17	40
64080832953	2014-10-20	40
80040646891	2014-10-21	40
59013009470	2014-10-22	40
73061018659	2014-12-05	40
74010653859	2014-12-16	40
66081501146	2014-12-25	40
76052495954	2014-12-28	40
80051770426	2014-12-20	40
53040668053	2014-01-13	41
80042165110	2014-02-15	41
79032587649	2014-03-27	41
50022811333	2014-05-23	41
90030999856	2014-06-01	41
62072015643	2014-06-10	41
68022922131	2014-08-13	41
59072599516	2014-12-06	41
79122889753	2014-12-16	41
80051770426	2014-12-25	41
81021701178	2014-12-28	41
80053118781	2014-01-07	41
80070765593	2014-01-13	42
60072720653	2014-02-16	42
81062879177	2014-03-27	42
81010974091	2014-05-24	42
75012799637	2014-06-02	42
82061173187	2014-06-10	42
47050427223	2014-08-14	42
73061185364	2014-12-06	42
66052886517	2014-12-16	42
46053054085	2014-12-26	42
88030422354	2014-12-28	42
80053168557	2014-01-25	42
60050201073	2014-01-14	45
81042082694	2014-02-16	45
48081892851	2014-03-28	45
56042492334	2014-05-25	45
81083096052	2014-06-02	45
77012130830	2014-06-11	45
52020392377	2014-08-14	45
76050723480	2014-12-06	45
74012506162	2014-12-17	45
50062925171	2014-12-26	45
74050523109	2014-12-29	45
80062465997	2014-02-12	45
78022769951	2014-01-14	46
81011159031	2014-02-16	46
74081448211	2014-03-28	46
62052849084	2014-05-26	46
56070476895	2014-06-03	46
79040554576	2014-06-11	46
57091566457	2014-08-14	46
80053118781	2014-12-06	46
76052385602	2014-12-17	46
74040736665	2014-12-26	46
60012759556	2014-12-30	46
80062480169	2014-03-02	46
81012649315	2014-01-14	47
54010520609	2014-02-18	47
80062465997	2014-03-28	47
79030778655	2014-05-26	47
79032778646	2014-06-03	47
51070170625	2014-06-12	47
68032000728	2014-08-14	47
65071807152	2014-11-19	47
69082693845	2014-01-14	48
60072720653	2014-02-19	48
55010297573	2014-03-29	48
81042484984	2014-05-26	48
81102454687	2014-06-03	48
56080747096	2014-06-12	48
79073149299	2014-08-14	48
70012069658	2014-01-15	49
78061600937	2014-02-19	49
80051770426	2014-03-29	49
90030999856	2014-05-26	49
62071578176	2014-06-04	49
49012817288	2014-06-13	49
49082653548	2014-08-15	49
51020720139	2014-01-16	50
81042277655	2014-02-19	50
62011695163	2014-03-30	50
90051902315	2014-05-27	50
81052178350	2014-06-04	50
62072253999	2014-06-13	50
63082755819	2014-08-15	50
53040668053	2014-01-16	51
79061445693	2014-02-19	51
81070188996	2014-03-30	51
47053779598	2014-05-28	51
82010271881	2014-06-04	51
75030955523	2014-06-13	51
68032717574	2014-08-15	51
80070324546	2014-01-16	52
51022589789	2014-02-20	52
78052821517	2014-03-31	52
56061135034	2014-05-28	52
51070170625	2014-06-05	52
82063139769	2014-06-13	52
86102376554	2014-08-15	52
78080701069	2014-08-17	52
48020465470	2014-01-17	53
48080940272	2014-02-21	53
55010760572	2014-04-01	53
90110899884	2014-05-28	53
81083096052	2014-06-05	53
57011115436	2014-06-15	53
68040708094	2014-08-16	53
63082017070	2014-08-18	53
65011176126	2014-10-29	53
71060537519	2014-10-29	53
79111590986	2014-10-29	53
93052768528	2014-10-29	53
52062994373	2014-10-30	53
71060671512	2014-10-30	53
49012817288	2014-10-30	53
47071280795	2014-10-31	53
80051770426	2014-11-22	53
60050547348	2014-01-17	54
54010520609	2014-02-21	54
62011695163	2014-04-02	54
51070170625	2014-05-29	54
49033115660	2014-06-06	54
79040112365	2014-06-15	54
77030500093	2014-08-16	54
68052234215	2014-08-18	54
50040474996	2014-10-31	54
59022173641	2014-10-31	54
71062833682	2014-10-31	54
65032546119	2014-11-01	54
71071501439	2014-11-01	54
77060908511	2014-11-01	54
94082036587	2014-11-01	54
71072004832	2014-11-02	54
79112889763	2014-11-02	54
73030899030	2014-11-23	54
81020799097	2014-01-17	55
76082229154	2014-02-21	55
81082360455	2014-04-02	55
62062945583	2014-05-29	55
56070576888	2014-06-06	55
63010709806	2014-06-16	55
80072765563	2014-08-16	55
75081114856	2014-08-18	55
77080177258	2014-11-23	55
80062480169	2014-01-17	56
61050332084	2014-02-22	56
51042472562	2014-04-03	56
81051948358	2014-05-29	56
81102454687	2014-06-06	56
82070688934	2014-06-16	56
57091566457	2014-08-17	56
79080166623	2014-08-18	56
79020151742	2014-11-23	56
80070324566	2014-01-17	59
81042484984	2014-02-22	59
48082674845	2014-04-04	59
90112738475	2014-05-29	59
62071711090	2014-06-07	59
50022811333	2014-06-16	59
68043054666	2014-08-17	59
86112376544	2014-08-18	59
59031732352	2014-11-03	59
79122889753	2014-11-06	59
65041986739	2014-11-10	59
72051646698	2014-11-13	59
49031259672	2014-11-23	59
47052983237	2014-01-18	60
74070433428	2014-02-23	60
55022400688	2014-04-04	60
49033115660	2014-05-30	60
79040112365	2014-06-07	60
57011203957	2014-06-18	60
71072192667	2014-11-03	60
50042299595	2014-11-07	60
72022265080	2014-11-10	60
91052687735	2014-11-13	60
78022937527	2014-01-18	61
78062600932	2014-02-23	61
79032587649	2014-04-04	61
79032778615	2014-05-30	61
82052457375	2014-06-07	61
52012727116	2014-06-19	61
76041535021	2014-11-03	61
65032546119	2014-11-07	61
80011788546	2014-11-10	61
50042299595	2014-11-14	61
79021766553	2014-01-18	62
54050323909	2014-02-24	62
61081265593	2014-04-05	62
65032546119	2014-11-04	62
72011492264	2014-11-07	62
91050687765	2014-11-10	62
72060737114	2014-11-14	62
80070765593	2014-01-18	63
81011807736	2014-02-24	63
81042277655	2014-04-05	63
71073028725	2014-11-04	63
91050687765	2014-11-07	63
72023178170	2014-11-11	63
76042378007	2014-11-14	63
80062465997	2014-01-18	64
61052704540	2014-02-25	64
81011159031	2014-04-05	64
77052633757	2014-10-10	64
94082778926	2014-11-04	64
49021050432	2014-11-07	64
59032703780	2014-11-12	64
79101889775	2014-11-14	64
53032143221	2014-01-19	65
81051948358	2014-02-25	65
46082878948	2014-04-06	65
64071194501	2014-10-11	65
71073149125	2014-11-05	65
72012228981	2014-11-08	65
72032080972	2014-11-12	65
59050269271	2014-11-15	65
70100775818	2014-10-11	67
46052305496	2014-11-06	67
81011807736	2014-11-08	67
77061816590	2014-11-12	67
72062815890	2014-11-15	67
76072943046	2014-01-19	67
46080423256	2014-02-26	67
76113098062	2014-04-06	67
53010873595	2014-11-06	67
59032703780	2014-11-09	67
47071280795	2014-11-13	67
49021619936	2014-11-15	67
69082693845	2014-01-19	68
51030275258	2014-02-27	68
55023185319	2014-04-07	68
59032703780	2014-11-06	68
72012974929	2014-11-09	68
53010873595	2014-11-13	68
65051837999	2014-11-16	68
60050671713	2014-01-20	69
54050323909	2014-02-27	69
61081265593	2014-04-08	69
72010715166	2014-11-06	69
79012776558	2014-11-09	69
65042219946	2014-11-13	69
72071493551	2014-11-16	69
81021384078	2014-01-20	79
78062657877	2014-02-27	79
75011285896	2014-04-08	79
70012069658	2014-01-20	81
79052707768	2014-02-27	81
79040749796	2014-04-08	81
80070324546	2014-01-21	82
48070903616	2014-02-28	82
81042484984	2014-04-08	82
53032143221	2014-01-22	84
61021810933	2014-02-28	84
51042472562	2014-04-10	84
57062976626	2014-08-08	84
86102376554	2014-08-09	84
68021942220	2014-08-11	84
87121987686	2014-08-24	84
79092776545	2014-08-26	84
82043181962	2014-09-17	84
66080201887	2014-11-19	84
78030619754	2014-01-22	85
81052070973	2014-02-28	85
55032120431	2014-04-10	85
67082189504	2014-08-08	85
68011651046	2014-08-10	85
49010739731	2014-08-11	85
68081414545	2014-08-25	85
47050427223	2014-08-27	85
89121744366	2014-09-17	85
52081491415	2014-11-20	85
80070324566	2014-01-22	86
46011466970	2014-03-01	86
49010235558	2014-04-11	86
63082017070	2014-08-09	86
79072587659	2014-08-10	86
63082096806	2014-08-12	86
68052425538	2014-08-19	86
58021838845	2014-08-26	86
64012826252	2014-08-27	86
53031682600	2014-09-18	86
73020854438	2014-11-20	86
51020720139	2014-01-23	87
80050214145	2014-03-01	87
62011695163	2014-04-11	87
68010959879	2014-08-09	87
57091566457	2014-08-11	87
68022790617	2014-08-12	87
49012817288	2014-08-19	87
68081903379	2014-08-26	87
69010302292	2014-08-27	87
69032825807	2014-09-18	87
50042299595	2014-11-21	87
60050201073	2014-01-23	89
54042703946	2014-03-02	89
81051948358	2014-04-11	89
81021701178	2014-01-23	93
61050332084	2014-03-03	93
79042185950	2014-04-12	93
80070765593	2014-01-23	94
78063095875	2014-03-03	94
80053118781	2014-04-12	94
48080940272	2014-01-24	95
81052178350	2014-03-03	95
55032120431	2014-04-13	95
53032143221	2014-01-25	124
76082493795	2014-03-04	124
81011807736	2014-04-13	124
70052059536	2014-09-15	124
58051001785	2014-09-16	124
89122889704	2014-09-22	124
82043181962	2014-09-23	124
80012185854	2014-09-27	124
81010974091	2014-10-02	124
47052983237	2014-10-05	124
70012287342	2014-10-05	124
70071994416	2014-10-07	124
80021405211	2014-10-09	124
60050547348	2014-01-26	125
80051770426	2014-03-04	125
62011655277	2014-04-14	125
79112889763	2014-09-15	125
70052496496	2014-09-16	125
80070765593	2014-09-22	125
80082431877	2014-09-27	125
50022811333	2014-10-03	125
64062775711	2014-10-05	125
70081560959	2014-10-09	125
50031383814	2014-10-10	125
78040270527	2014-01-26	126
54042703946	2014-03-05	126
81052070973	2014-04-14	126
89100899833	2014-09-15	126
89101774688	2014-09-16	126
64051797696	2014-09-23	126
83081788923	2014-09-27	126
70062507795	2014-10-03	126
70063159731	2014-10-05	126
58072850731	2014-10-10	126
70082516713	2014-10-10	134
81022050615	2014-01-26	134
51030558874	2014-03-06	134
60050201073	2014-04-15	134
77031403944	2014-08-27	134
58030854177	2014-09-04	134
79111590986	2014-09-11	134
79052707768	2014-01-26	138
61052704540	2014-03-06	138
55032120431	2014-04-16	138
88022685902	2014-08-27	138
69030168539	2014-09-04	138
88022685932	2014-09-11	138
53082515548	2014-01-28	139
74070641485	2014-03-06	139
78052821517	2014-04-16	139
49021050432	2014-08-27	139
49021619936	2014-09-04	139
49082392869	2014-09-12	139
60050671713	2014-01-29	143
81052595917	2014-03-06	143
51042472562	2014-04-17	143
57101566451	2014-08-20	143
52012727116	2014-08-28	143
49082392869	2014-09-05	143
69061323804	2014-09-12	143
46052453908	2014-09-17	143
77042650667	2014-09-18	143
81030555861	2014-01-29	147
48070903616	2014-03-07	147
62011655277	2014-04-17	147
68062446765	2014-08-20	147
69010552499	2014-08-28	147
64021933695	2014-09-05	147
49031259672	2014-09-12	147
64071194501	2014-09-17	147
89121774628	2014-09-18	147
51020542232	2014-01-30	148
78040270527	2014-03-07	148
76122675877	2014-04-17	148
52012727116	2014-08-21	148
49082392869	2014-08-29	148
69030536239	2014-09-05	148
58042112180	2014-09-13	148
70052764984	2014-09-17	148
49082653548	2014-09-19	148
76081706229	2014-01-30	149
79060821883	2014-03-07	149
81052178350	2014-04-17	149
63082096806	2014-08-21	149
58022615384	2014-08-29	149
88022685932	2014-09-05	149
69070691165	2014-09-13	149
47071280795	2014-11-26	149
78040380718	2014-01-30	150
54050323909	2014-03-08	150
49010739731	2014-04-18	150
68062671725	2014-08-21	150
69012637165	2014-08-29	150
69032114200	2014-09-06	150
80081968930	2014-09-13	150
73042355588	2014-11-26	150
47052983237	2014-01-31	152
61081265593	2014-03-09	152
46083050756	2014-04-19	152
87100788765	2014-08-21	152
75082822346	2014-08-29	152
58033066128	2014-09-07	152
64071032276	2014-09-14	152
79122889753	2014-11-26	152
60050201073	2014-12-07	152
48032154528	2014-01-31	153
81052879152	2014-03-09	153
55081052660	2014-04-19	153
49082653548	2014-08-22	153
64021933695	2014-08-30	153
69032195977	2014-09-07	153
69071605291	2014-09-14	153
52081917351	2014-11-27	153
73062212304	2014-12-07	153
53082515548	2014-01-31	154
46080423256	2014-03-11	154
75011429377	2014-04-19	154
68063174647	2014-08-22	154
69013075070	2014-08-30	154
77033067908	2014-09-07	154
87100488725	2014-09-14	154
59050332838	2014-11-27	154
66030685027	2014-12-07	154
81011807736	2014-12-17	154
80062822277	2014-01-31	155
54051014059	2014-03-11	155
46011466970	2014-04-20	155
79092009769	2014-08-22	155
79100445687	2014-08-30	155
79101889775	2014-09-07	155
78082451481	2014-09-14	155
73042942423	2014-11-27	155
79021766553	2014-12-07	155
53013041854	2014-12-18	155
69082693845	2014-01-31	156
78040380718	2014-03-11	156
62011655277	2014-04-20	156
50062806261	2014-11-28	156
73062715630	2014-12-08	156
60011168304	2014-12-18	156
60061865589	2014-02-01	157
61081473918	2014-03-12	157
79032587649	2014-04-20	157
60050201073	2014-11-28	157
79111590986	2014-12-08	157
74013018116	2014-12-18	157
74062405411	2014-02-01	158
60050671713	2014-03-12	158
82021370252	2014-04-20	158
73050412326	2014-11-28	158
48010504088	2014-12-09	158
50062806261	2014-12-19	158
81031738113	2014-02-01	159
81053057256	2014-03-12	159
80051770426	2014-04-21	159
94082778926	2014-11-28	159
59072599516	2014-12-09	159
60050201073	2014-12-19	159
80042165110	2014-02-01	162
80053118781	2014-03-12	162
55010760572	2014-04-22	162
59050332838	2014-11-21	162
59050332838	2014-11-24	162
73050512356	2014-11-29	162
73071007694	2014-12-09	162
74020821105	2014-12-19	162
54010520609	2014-02-03	163
51031812876	2014-03-13	163
62011695163	2014-04-23	163
73022098738	2014-11-21	163
73033158745	2014-11-24	163
59071769949	2014-11-30	163
81011159031	2014-12-09	163
66071450180	2014-12-19	163
78040766570	2014-02-03	164
48070903616	2014-03-14	164
82021883604	2014-04-23	164
77010303090	2014-04-28	164
62071578176	2014-05-05	164
62051358846	2014-05-14	164
60050547348	2014-11-22	164
60050671713	2014-11-25	164
73051384236	2014-11-30	164
60050547348	2014-12-10	164
74023074920	2014-12-20	164
79060821883	2014-02-03	165
54051014059	2014-03-14	165
51042803935	2014-04-24	165
79022420734	2014-04-28	165
82030752968	2014-05-05	165
79030766026	2014-05-14	165
73029098768	2014-11-22	165
73040156761	2014-11-25	165
80011788546	2014-11-30	165
73071550642	2014-12-10	165
80011788546	2014-12-20	165
46011466970	2014-02-04	166
61050332084	2014-03-15	166
79022009768	2014-04-24	166
62062945583	2014-04-29	166
79022776533	2014-05-06	166
82032346679	2014-05-14	166
89123009458	2014-09-23	166
70070304333	2014-10-06	166
79112889763	2014-11-22	166
76043110365	2014-11-25	166
46052453908	2014-12-01	166
66030873771	2014-12-10	166
80053168557	2014-12-20	166
80062822277	2014-03-20	166
60061865589	2014-02-04	167
76082861730	2014-03-15	167
49012817288	2014-04-25	167
82030192835	2014-04-29	167
55081325955	2014-05-07	167
46011466970	2014-05-15	167
66081501146	2014-11-22	167
94082036587	2014-11-25	167
60050547348	2014-12-01	167
53010873595	2014-12-11	167
60012759556	2014-12-21	167
80070324546	2014-04-07	167
81032816708	2014-02-04	174
78040766570	2014-03-15	174
55072966835	2014-04-25	174
80053118781	2014-04-29	174
80053168557	2014-05-07	174
47052983237	2014-05-15	174
73052776846	2014-12-01	174
73071683368	2014-12-11	174
74030233017	2014-12-21	174
51020542232	2014-02-06	184
81060188946	2014-03-15	184
62011934271	2014-04-26	184
75011892546	2014-04-30	184
51060797230	2014-05-08	184
51060797230	2014-05-15	184
94082778956	2014-12-01	184
50062806261	2014-12-12	184
79012776558	2014-12-21	184
54012409115	2014-02-06	186
80051695475	2014-03-15	186
82022276939	2014-04-26	186
88111299954	2014-04-30	186
62071711090	2014-05-08	186
80062465997	2014-05-15	186
81010974091	2014-12-01	186
60010277045	2014-12-12	186
48010504088	2014-12-22	186
66040707105	2014-02-06	188
54051014059	2014-03-17	188
80053168557	2014-04-26	188
51042803935	2014-05-01	188
82030808843	2014-05-08	188
49031259672	2014-05-16	188
70041258386	2014-09-23	188
58023137386	2014-09-28	188
80020643186	2014-10-05	188
81010974091	2014-10-11	188
73060123990	2014-12-02	188
73071962089	2014-12-12	188
66032816415	2014-12-22	188
48032154528	2014-02-07	190
74072656672	2014-03-17	190
55072966835	2014-04-28	190
55080281557	2014-05-01	190
49021619936	2014-05-09	190
56070576888	2014-05-16	190
80011788546	2014-09-23	190
70051437179	2014-09-28	190
82051382908	2014-10-05	190
84092799822	2014-10-11	190
