lp	pesel	tytul
170	93111079234	TESTY PENETRACYJNE SIECI WIFI
171	95071044176	FIZYKA TECHNICZNA II
172	92070952712	PODSTAWY KRYPTOGRAFII II
173	94032585554	MATEMATYKA DYSKRETNA II
174	95111492877	PODSTAWY KRYPTOGRAFII I
175	94020859896	OPTYMALIZACJA ALGORYTMOW I
176	96081684932	ANALIZA MATEMATYCZNA I
177	96022327144	KANONY WIEDZY PROGRAMISTYCZNEJ
178	93032549924	FIZYKA TECHNICZNA III
179	92072355391	SIECI NEURONOWE
180	92070111188	ANSI C
181	93041252815	FLASH I PHP
182	93091115319	MIKROKONTROLERY AVR
183	96052561949	ALGORYTMY GENETYCZNE
184	92060816563	WSTEP DO INFORMATYKI
185	93091278935	AUTOMATYKA II
186	96022049899	ANSI C
187	93080133818	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
188	94072349563	APARATURA POMIAROWA
189	93013078979	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
190	92081817558	PODSTAWY KRYPTOGRAFII I
191	96081928342	RELACYJNE BAZY DANYCH I
192	96111514855	TESTOWANIE UKLADOW VLSI
193	93090925753	ANALIZA MATEMATYCZNA II
194	96090923899	OPTYMALIZACJA ALGORYTMOW I
195	97020245331	ANSI C
196	93111422865	FIZYKA CIALA STALEGO II
197	95022812243	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
198	96081092979	JEZYKI PROGRAMOWANIA III
199	92080864292	BIBLIA ASSEMBLERA I
200	96102819712	PHP I MYSQL
201	93091575513	C# I .NET
202	94051786439	FIZYKA CIALA STALEGO III
203	92111027117	ANALIZA MATEMATYCZNA I
204	96032965482	MERNICTWO ELEKTRYCZNE II
205	95030438448	AUTOCAD DOBRE PRAKTYKI
206	93120854668	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO II
207	93041967867	CHEMIA KWANTOWA II
208	92121586455	GRAFIKA KOMPUTEROWA III
209	96111524476	METODY NUMERYCZNE II
210	93042094111	AUDYT BEZPIECZENSTWA SIECI
211	96112275739	ALGORYTMY BEZ TAJEMNIC
212	95101667241	OPTYMALIZACJA ALGORYTMOW II
213	94031972793	APARATURA POMIAROWA
214	95080318259	FIZYKA CIALA STALEGO III
215	94121925755	TECHNOLOGIA LITOGRAFII 20NM
216	93080464147	ANSI C
217	96040333314	JAK DZIALA LINUX
218	96032039774	TEORIA GIER
219	95071674573	SYSTEMY OPERACYJNE
220	94032747169	RELACYJNE BAZY DANYCH II
221	96042084485	GRAFIKA KOMPUTEROWA III
222	96062773598	LINUX KSIEGA ADMINISTRATORA I
223	97010983179	CHEMIA FIZYCZNA
224	93012248937	FIZYKA TECHNICZNA II
225	94093037193	TEORIA GRAFOW
226	96091269286	AUDYT BEZPIECZENSTWA SIECI
227	96061777722	OSCYLOSKOP W ZASTOSOWANIACH
228	96090866484	ALGERBA I
229	95011368836	WSTEP DO TEORII LICZB
230	96061094795	AUTOMATYKA III
231	92072589329	GRAFIKA KOMPUTEROWA I
232	93081336463	AUTOMATYKA II
233	95042088338	AUDYT BEZPIECZENSTWA SIECI
234	94082711312	ALGORYTMY BEZ TAJEMNIC
235	94030283737	AUTOMATYKA II
236	97010812385	KATALOG CYFROWYCH UKLADOW SCALONYCH
237	96011338285	CHEMIA KWANTOWA II
238	94112234831	TESTY PENETRACYJNE SIECI WIFI
239	93092435575	ALGERBA II
240	94080681844	AUTOMATYKA II
241	96082593622	TEORIA GIER
242	96061044486	ROBOTYKA II
243	95052836383	BIBLIA ASSEMBLERA I
244	94012331191	SIECI NEURONOWE
245	94083048134	OPTYMALIZACJA ALGORYTMOW I
246	94100835552	SIECI NEURONOWE
247	92112635683	FIZYKA CIALA STALEGO I
248	97021392858	FLASH I PHP
249	93042594253	FIZYKA TECHNICZNA II
250	96122095251	RELACYJNE BAZY DANYCH II
251	96122014799	KATALOG CYFROWYCH UKLADOW SCALONYCH
252	95061884197	KATALOG CYFROWYCH UKLADOW SCALONYCH
253	96110243976	ELEKTRONIKA CYFROWA I
254	93021966581	JAK DZIALA LINUX
255	92060863855	WSTEP DO INFORMATYKI
256	94012177294	TRANSMISJA DVB-T DVB-C I DVB-S
257	93031439697	TESTOWANIE UKLADOW VLSI
258	95081712847	FIZYKA CIALA STALEGO III
259	92121027392	TESTY PENETRACYJNE SIECI WIFI
260	94030588351	AUTOMATYKA III
261	92121027392	AUTOCAD DOBRE PRAKTYKI
262	95090322493	ALGORYTMY KOMPRESJI STRATNEJ I BEZSTRATNEJ
263	96050641553	MIKROKONTROLERY AVR
264	93012423916	WSTEP DO INFORMATYKI
265	97012853362	TEORIA GRAFOW
266	94021031192	STEROWNIKI PRZEMYSLOWE II
267	93021324462	CHEMIA KWANTOWA II
268	94020462177	PROGRAMOWANIE URZADZEN MOBILNYCH
269	95122598863	ALGERBA III
270	92061937214	MERNICTWO ELEKTRYCZNE I
271	95011221717	OPTYMALIZACJA ALGORYTMOW II
272	92061754985	ELEKTRONIKA CYFROWA II
273	94010593869	ELEKTRONIKA ANALOGOWA II
274	95103086594	KANONY WIEDZY PROGRAMISTYCZNEJ
275	93031922166	LINUX KSIEGA ADMINISTRATORA II
276	93020294887	RELACYJNE BAZY DANYCH III
277	94020368381	PROGRAMOWANIE WSPOLBIEZNE
278	92060349478	SIECI NEURONOWE
279	95012344439	CHEMIA FIZYCZNA
280	96051572319	OPTYMALIZACJA ALGORYTMOW I
281	92090349976	ANALIZA MATEMATYCZNA II
282	92052877491	ZLACZA ELEKTRYCZNE I ELEKTRONICZNE
283	95082916158	LINUX KSIEGA ADMINISTRATORA I
284	95120487536	MATEMATYKA DYSKRETNA II
285	95092172959	PODSTAWY KRYPTOGRAFII I
286	96121964255	WSTEP DO INFORMATYKI
287	93051494722	FIZYKA CIALA STALEGO II
288	94052812232	ELEKTRONIKA ANALOGOWA I
289	95031582894	ELEKTRONIKA CYFROWA II
290	95092628511	OPTYMALIZACJA ALGORYTMOW I
291	96052982418	MATEMATYKA DYSKRETNA II
292	93080261416	ANSI C
293	95040576286	PROGRAMOWANIE MIKROKONTROLEROW I
294	92081982469	ALGERBA I
295	93122038392	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
296	93031853565	MATEMATYKA DYSKRETNA II
297	96090264886	OSCYLOSKOP W ZASTOSOWANIACH
298	94123156375	ANALIZA MATEMATYCZNA I
299	95123151452	LINUX KSIEGA ADMINISTRATORA I
300	93061243679	TESTY PENETRACYJNE SIECI WIFI
301	95050294464	ANSI C
302	94051886221	RELACYJNE BAZY DANYCH I
303	96090634229	KATALOG CYFROWYCH UKLADOW SCALONYCH
304	94072628581	JEZYKI PROGRAMOWANIA I
305	95053039198	KATALOG CYFROWYCH UKLADOW SCALONYCH
306	94050415987	RELACYJNE BAZY DANYCH I
307	94062767281	KANONY WIEDZY PROGRAMISTYCZNEJ
308	92082477625	ALGORYTMY GENETYCZNE
309	94070532538	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
310	93091812971	RELACYJNE BAZY DANYCH II
311	96011788721	MERNICTWO ELEKTRYCZNE II
312	95092124468	METODY NUMERYCZNE II
313	93042372947	AUTOCAD DOBRE PRAKTYKI
314	96051078792	AUTOMATYKA III
315	92062548936	ALGORYTMY BEZ TAJEMNIC
316	92051861424	MATEMATYKA DYSKRETNA I
317	97022784472	WSTEP DO CSS3 I HTML5
318	93081892851	PROGRAMOWANIE MIKROKONTROLEROW I
319	95021137376	VHDL
320	95112894814	ANALIZA MATEMATYCZNA II
321	93020984197	AUTOMATYKA II
322	96050419725	PODSTAWY KRYPTOGRAFII II
323	94050341862	ANSI C
324	96080514843	TEORIA GRAFOW
325	96011223945	LINUX KSIEGA ADMINISTRATORA II
326	93062061135	FIZYKA TECHNICZNA II
327	94070444888	CHEMIA FIZYCZNA
328	93041329773	JEZYKI PROGRAMOWANIA II
329	92052033215	MERNICTWO ELEKTRYCZNE I
330	94052327952	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
