Zadanie 6.1
Imie	Nazwisko	Nr_rej	Czas_wypozyczenia	Naleznosc
Jan Kanty	Wdbacki	MA1013	17	2380
Jan Kanty	Wdbacki	MA1095	2	280
Klet	Webacki	MA1091	10	800
Ksawera	Wfbacka	AN1294	28	2240
Ksawera	Wfbacka	PI1253	10	1400
Ksawery	Whbacki	NI1176	28	2240
Symplicjusz	Yabacki	MA1347	24	1920
Sandra	Ybbacka	MA1055	5	400
Sandra	Ybbacka	AN1305	17	1360
FilipNeriusz	Ycbacki	NI1176	1	80
FilipNeriusz	Ycbacki	MA1140	4	880
Gonsalwy	Ydbacki	WI1097	14	1120
Jan Nepomucen	Yfbacki	PI1118	1	140
Jan Nepomucen	Yfbacki	PI1131	7	560
Abira	Ygbacka	MA1316	2	440
Herweusz	Yhbacki	MA1229	14	3080
Klet	Zabacki	NI1023	18	2520
Klet	Zabacki	PI1204	6	840
Ilona	Zbbacka	WI1344	7	560
Ilona	Zbbacka	MA1008	19	4180
Ilona	Zbbacka	WI1246	9	1980
Salwina	Zcbacka	MA1295	26	3640
Salwina	Zcbacka	NI1071	24	1920
Salwina	Zcbacka	WI1280	10	2200
Uma	Zdbacka	WI1272	1	80
Uma	Zdbacka	MA1081	27	5940
Uma	Zdbacka	WI1083	7	980
Kanizja	Zebacka	MA1119	18	1440
Kanizja	Zebacka	NI1103	14	3080
Amon	Zfbacki	PI1157	25	5500
Amon	Zfbacki	WI1038	5	400
Aaricia	Zgbacka	NI1154	28	2240
Aaricia	Zgbacka	MA1139	10	800
Aaricia	Zgbacka	WI1017	29	6380
Aaricia	Zgbacka	WI1126	11	880

Zadanie 6.2
Klasa	PoliczOfNr_klienta
B	100
C	48
D	53

Zadanie 6.3
Imie	Nazwisko	PoliczOfWypozyczenie
Ramzes	Hcbacki	5

Zadanie 6.4
Miejscowosc	B	C	D
Aniolkowo	12	8	7
Manipulatowo	31	14	11
Nieszczerzyn	17	9	4
Piarowa	16	18	8
Wielka Wola	25	11	7

Zadanie 6.5
72
