id_klienta	imie	nazwisko
X77	Lena	Szaposznikowa
X78	Jagoda	Gryc
X79	Krystyna	Panwnik
Y91	Patryk	Osure
X80	Justyna	Moroz
X81	Anna	Zapotoczny
X82	Katarzyna	Czapla
X83	Agnieszka	Szmanda
Y92	Tomasz	Kot
X84	Jolanta	Bielicka
Y93	Pawel	Jadczak
Y94	Tomasz	Wielgus
Y95	Filip	Klimas
Y96	Dawid	Zamiara
Y97	Tomasz	Gorny
X85	Barbara	Filipiak
Y102	Kacper	Makowski
Y98	Jan	Gierulska
Y101	Michal	Gwozdz
Y99	Krzysztof	Halba
Y100	Adam	Komar
X86	Izabela	Kubacka
X87	Anna	Szczeglik
X88	Lidia	Bielicka
X89	Honorata	Grzelak
X90	Ewa	Florczak
X91	Ludmila	Krawczyk
X92	Honorata	Milik
X93	Paulina	Tonela
X94	Anita	Zawadzka
X95	Marta	Benysek
X96	Anna	Krolik
X97	Wioletta	Graczyk
X98	Mariola	Gorska
X99	Katarzyna	Skrzypek
X100	Barbara	Icebake
X101	Aleksandra	Bak
X102	Marta	Lewkowicz
X103	Ewa	Aniol
X104	Marzena	Bynod
X105	Anna	Piskorska
